""
cakechat_v1.3_processed_dialogs_gru_hd512_cdim128_drop0.2_encd2_decd2_il30_cs3_ansl32_lr1.0_gc5.0_learnemb
"commit hash: b2dbed5
"
date: 2018-08-31_l15:25
40 maximum tokens in the response
Current perplexity: 11.66
"Batch iteration number 2500
Total elapsed time: 0:33:26
Elapsed time for a batch: 0:00:00
Estimated time for a full dataset pass: 0:00:49
"
 /  / 配配 配 。	不 适合 。
 /  / 礼物 是 一套 jk 制服 。	你 这 是 没有 办法 的 。
 /  / 露珠 的 意思 是 我们 不 合适 是 吗 ？ 。	不是 ， 你 的 占有欲 。
 /  / 已经 被 甩 两次 了 ， 还 怎么 当 朋友 ， 再 找 她 好 贱 的 感觉 。	就是 他 说 你 想 的 太 多 了 ， 又 不想 主动 联系 我 。
 /  / 不 告诉 你 ， 可以 面谈 。	谢 楼主 ～ 。
 /  / 天蝎男 是 喜欢 女方 主动 联系 他 ？	不是 。
 /  / 双子女 ， 升 金牛 ， 水 金牛 。	闷骚 。
 /  / 水瓶座 对待 感情 怎么样 ？ 会 真心 吗 ？ ？	你 觉得 呢 ？
 /  / 白羊 运势 什么 时候 会 好转 感觉 一直 很 背 阿 。	你 要 主动出击 。
 /  / 天秤男 在 感情 方面 靠 谱 吗 ？ ？ 有 什么 办法 能 牢牢 吸引住 他 ？ 我 是 金牛女 ， 男票 是 以前 比较 乱 现在 想 稳定 下	不是 的 ， 就是 很 容易 主动 起来 ， 然后 再 去 找 你 的 那个 靠 谱 的 。
 /  / 上升 水瓶 的 处女女 和 双子男 ？	你 的 那个 太 多 了 。
 /  / 为什么 没有 好 结果 吗 ？	有 的 ， 就是 爱 运动 给 一个 人 啊 。
 /  / 快 洗澡 。	什么 意思 ( ⊙ ▽ ^ ) ╭ ( ๑ • ั ◎ ≦ ω ็ ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` `
 /  / 我 说 了 周围 朋友 的 ， 还有 我妈 也 催 ， 但是 他 就是 不 表态 ~ 也 没 说 一起 计划 一下 什么 的 ~ 。	你 不 对 他 很 好 ， 你 就 开始 做 了 啦 。
 /  / 双鱼 自我 是 啥意思 。	就是 思维 很 冲动 的 。
 /  / 白羊女 到底 该 找 什么 星座 ( ｔ ＿ ｔ ) 。	你 的 世界 。
 /  / 射手女 和 双鱼男 怎么样 。	你 是 看 上 吧 。
 /  / 日处 月 射升 牛 金狮 。	不 懂 。
 /  / 咦 你 头像 是 我 男神 ， 我 可以 吃 你 么 。	你 是 天蝎座 ？
 /  / 天秤女 天蝎男 合适 吗 ？	合适 。
 /  / 日 摩羯 月亮 狮子 水星 摩羯 金星 水瓶 火星 天蝎 上升 摩羯 ， 感情 方面 ， 个人 觉得 好像 不怎么 招男 。	你 是 个 女 的 。
 /  / 互虐 的 节奏 。	你 不 知道 我 还 觉得 他 喜欢 把 么 … … 。
 /  / both 。	怎么 了 ？
 /  / 你 不是 大猫 么 ， 不是 女王 么 ， 弱 什么 ？	没有 。
 /  / 射手女 碰到 高 情商 双子男 怎么 破 。	他 追 你 的话 ， 就是 不 主动 。
 /  / 为了 大枣 没命 我 不 干 。	爱 吃 啥 ， 你 不 懂 什么 ？
 /  / 日 金牛 ， 月 双子 ， 金星 白羊 ， 上升 摩羯 。	对 你好 的 人 ， 你 会 很 纠结 。
 /  / 长得帅 会 怎样 ？ 详细 点 。	你 就 大胆 一点 。
 /  / 女 ！ 太阳 摩羯 ， 月亮 水瓶 ， 上升 天 枰 ， b型 血 。 能 分析 出 什么 。	爱 说谎 ， 偶尔 会 让 你 的 未来 。
 / 楼主 爱死 你 了 。 我 就 这么 打算 的 哦 。 楼主 。 请问 你 是 什么 星座 。 / 我 天秤 的 呦 。	你 怎么 知道 啊 。
 /  / 处女女 b 型 血 。	容易 陷入 感情 的 个性 ， 对 你好 的 东西 就 行 。
 /  / 白羊女 通常 是 爱吃鬼 ， 乐 哈哈 ， 性爱 宝宝 。	这 是 哪 方面 的 方法 。
 /  / 会 臭屁 也 会 温柔 ， 想 得 多 ， 有点 势利眼 。	谢谢 。
 /  / 农历 八月 十八 的 应该 找个 农历 八月 二十 的 。	哈哈 这 你 说 的 就是 看看 我 呢 ？
 /  / 天蝎 没 安全感 很 正常 ， 因为 那 不是 安全感 ， 而是 占有欲 。	是 的 ， 我 愧疚 个 傻 逼 ， 感觉 不到 … 说 自己 有 什么 兴趣 。
 /  / 天蝎男 是不是 不能 倒 追 ？ 得 去 吸引 他 。	你 的 表白 可能 是 他 有 个 能够 给 对方 发 。
 /  / 你 是 天蝎 ？	我 觉得 你 是 个 傻 逼 的 样子 。
 /  / 跟 什么 星座 合适 呢 ？	你 是 个 星座 的 嘛 ？
 /  / 你 星盘 可能 有 天秤 影响 。	不 知道 怎么 说 。
 /  / 金牛女 怎么 俘获 理智 的 天秤男 的 心 ，	你 得 学会 干 的 事情 ， 然后 忽然 就 主动 找 他 。
 /  / 打 不断 理 还 乱 。	是 的 ， 但是 也 不 知道 怎么 想 在 一起 一年 多 了 - _ - # 。
 /  / 你 得 给 他 更 多 的 安全感 。	你 说 的 像 个 备胎 型 ！
 /  / 小 疯子 ， 去 找 个人 恋爱 啊 ， 长相 厮守 。	哈哈 ～ 要 被 拒绝 了 。
 /  / 什么 没 头绪 ， 戳 出来 啊 。	什么 鬼 。
 /  / 水瓶女 。 。 老 纠结 了 ~ 请问 最 速配 最佳 星座 是 什么 咧 ~ 。	你 的 存在 ？
 /  / 雙魚 女 和 雙魚 男 ( ¯ ( ● ● ) ¯ ) 。	不 看好 。
 /  / 狮子女 感情 运势 ~ 。	最近 感情 会 经常 找 一个 人 的 性格 ， 但是 也 不 知道 自己 怎么 想 什么 ？
 /  / 让 他 成为 你 的 听众 和 知心人 。	他 说 你 有 个 朋友 都 是 很 好 的 。
 /  / 日射 月 蟹 升鱼 ！ 来 分析 一个 ！	爱 你 的 人 。
 /  / 简单 方法 ， 你 可以 报个 什么 学习班 认识 很多 同学 。	你 咋 知道 ！
 /  / 那 我 这样 月亮 天秤 的 双鱼 是 自恋 中 的 极品 了 。 。 。	你 去 。
 /  / 水瓶男 ， 金星 双鱼 ， 月亮 处女 ， 上升 狮子 的 情感世界 。	不 容易 表白 的 很 贪心 。
 /  / 真心 比较 重要 ， 星座 只是 花样 而已 试试 双子女 吧 ， 你 会 感觉 不 一样 的 。	说 的 就是 对 我 高 。
 /  / 追星 如痴 ， 虚无缥缈 。	那 你 说 的 就是 个 逗 逼 。
 /  / 不要 这么 做 ！	你 就 知道 我 没 那么 明显 ， 和 他 的 节奏 不 搭 。
 /  / 楼主 我 想 追 男神 ！ ！ 我 ： 日蟹 月 处水蟹 金处 火双 男 ： 日蟹 月 蝎水蟹 金牛 火处 可以 给 点 意见 嘛 ？ ！	你 说 他 是 个 逗 逼 ， 然后 再 来 一次 。
 /  / 喜欢 就 去 做 。	你 说 的 我 也 是 个 极端 的 配置 ， 水瓶 都 会 觉得 对方 一直 不 搭理 。
 /  / 巨蟹女 天蝎男 靠 谱 吗 ？ . . . 。	不 容易 。
 /  / 其实 你 并 没有 很 喜欢 他 ， 只是 觉得 有趣 。	你 的 意思 是 我 对 他 来说 有 吗 ？ ？
 /  / 那 最好 不 吵架 了 呗 ， 冷战 你 赢 不了 的 ， 你 要是 赢 了 就是 放弃 他 了 。	好 的 ， 我 这个 配置 的 是 这样 。
 /  / 为什么 大家 总说 双子 花心 ， 我 觉得 双子 遇到 一个 人 就 很 死心塌地 啊 ， 而且 对 朋友 好 ！	你 是 说 自己 是 个 让 他 觉得 男人 在 双鱼 那个 天秤 有时候 一个 双子 ， 摩羯 就是 那种 未来 的 。
 /  / lz ， 日狮 月 巨蟹 升 天蝎 ， 一生 是 会 比较 平稳 还是 挫折 多多 ？	可以 。
 /  / 谁 不是 呢 ？	你 。
