""
cakechat_v1.3_processed_dialogs_gru_hd512_cdim128_drop0.2_encd2_decd2_il30_cs3_ansl32_lr1.0_gc5.0_learnemb
"commit hash: b2dbed5
"
date: 2018-08-31_l15:25
40 maximum tokens in the response
Current perplexity: 18995.75
"Batch iteration number 2500
Total elapsed time: 0:33:25
Elapsed time for a batch: 0:00:00
Estimated time for a full dataset pass: 0:00:49
"
 /  / 哪里 会 上 ？ ？ ？	因为 你 的 是 个 靠 谱 吧 。
 /  / 嗯 嗯 我 现在 感觉 可 无聊 了	你 这 样子 就是 对 你 的 兴趣 ， 你 可以 让 他 主动 点 。
 /  / _unk_ 去 得 边 _unk_ ~ 过年 啦	你 说 的 就是 他 的 原因 是 我 喽 。
 /  / 在 哪 吃 呀	看 我 这个 星座 是不是 太 主动 了 ？
 /  / 大 _unk_ 的 ， 有 _unk_ 病 很 容易 被 她 吓 死 的	我 是 说 的 意思 吗 ？
 /  / 好 乖 早点 睡 好 梦 ， 明天 你 又 去 医院 ？	不 明白 这个 问题 。 。
 /  / 好 大方 的 _unk_	你 的 意思 是 让 你 表白 ， 不要 对 他 好 ， 又 想 办法 多 了 。
 /  / 好 的 为 您 记录 请 稍 等	我 的 意思 是 ， 你 还 能 不能 详细 点 吗 ？
 /  / 好看 么 我 啊 想 看	你 觉得 他 是 我 傻 逼 。
 /  / _unk_ ， _unk_ _unk_ 站 了 哈 好 … …	你 咋 确定 他 对 你好 的 。
 /  / _unk_ 纸 他 _unk_ _unk_ 了 ， 准 带	你 这 可能 是 个 互补 的 吧 。
